Product Name,Brand,Category,Price,Description,Rating
boAt Airdopes 141,boAt,Wireless Earbuds,1299,True wireless earbuds with 42-hour playback,4.3
OnePlus Nord Buds 2r,OnePlus,Wireless Earbuds,1999,Bluetooth 5.3 earbuds with AI noise cancellation,4.5
Sony WF-C500,Sony,Wireless Earbuds,4999,Compact and lightweight earbuds with DSEE sound enhancement,4.6
Realme Buds Air 5 Pro,Realme,Wireless Earbuds,3499,ANC earbuds with dual drivers and LDAC support,4.4
Noise Buds VS104,Noise,Wireless Earbuds,1399,Low latency gaming earbuds with ENC and 45-hour battery life,4.2
JBL Tune 230NC,JBL,Wireless Earbuds,4999,Active noise cancellation and deep bass sound,4.4
Samsung Galaxy Buds FE,Samsung,Wireless Earbuds,7999,Comfortable design with ANC and ambient mode,4.6
Skullcandy Dime 2,Skullcandy,Wireless Earbuds,2499,Sweat-resistant earbuds with call and track control,4.1
Apple AirPods (3rd Gen),Apple,Wireless Earbuds,17999,Spatial audio with adaptive EQ and long battery life,4.7
Boult Audio X10,Boult,Wireless Earbuds,1099,Fast charging TWS earbuds with Zen ENC Mic,4.3
Redmi Buds 5,Redmi,Wireless Earbuds,2399,Noise-cancelling earbuds with dual-mic ENC,4.2
Sennheiser CX Plus,Sennheiser,Wireless Earbuds,8999,High-fidelity sound with ANC and smart touch control,4.5
Ptron Bassbuds Duo,Ptron,Wireless Earbuds,899,Affordable TWS earbuds with Bluetooth 5.1,4.1
Boat Rockerz 255F,boAt,Wireless Neckband,999,Neckband with fast charging and magnetic earbuds,4.2
Sony WH-CH520,Sony,On-Ear Headphones,4999,Lightweight Bluetooth headphones with 50-hour battery life,4.6
JBL Tune 760NC,JBL,Over-Ear Headphones,6999,ANC over-ear headphones with deep bass,4.5
Boult Audio Probass Curve,Boult,Wireless Neckband,1199,Neckband with noise isolation and IPX5 rating,4.3
Noise One,Noise,On-Ear Headphones,1799,Wireless headphones with 16-hour playback,4.1
Boat Nirvana 751 ANC,boAt,Over-Ear Headphones,3799,Active noise cancelling headphones with ambient mode,4.4
Zebronics Zeb-Thunder,Zebronics,Over-Ear Headphones,899,Budget-friendly wireless headphones with 9-hour battery,4.0
